scenario,loss_count_total,loss_frequency_total,loss_count_hardware_preferred,loss_count_deterministic_seeded,loss_count_baseline_neutralized
133,42,0.4666666666666667,10,18,14
226,42,0.4666666666666667,11,16,15
148,41,0.45555555555555555,13,16,12
310,41,0.45555555555555555,10,17,14
74,40,0.4444444444444444,14,16,10
117,39,0.43333333333333335,11,17,11
131,39,0.43333333333333335,13,17,9
140,39,0.43333333333333335,12,15,12
220,39,0.43333333333333335,13,13,13
294,39,0.43333333333333335,15,14,10
337,39,0.43333333333333335,15,13,11
2,38,0.4222222222222222,13,15,10
225,38,0.4222222222222222,10,16,12
270,38,0.4222222222222222,11,16,11
317,38,0.4222222222222222,15,12,11
103,37,0.4111111111111111,13,14,10
144,37,0.4111111111111111,11,17,9
188,37,0.4111111111111111,14,12,11
299,37,0.4111111111111111,13,13,11
329,37,0.4111111111111111,12,14,11
58,36,0.4,13,15,8
76,36,0.4,12,13,11
82,36,0.4,13,14,9
164,36,0.4,14,14,8
222,36,0.4,15,13,8
341,36,0.4,13,14,9
356,36,0.4,15,13,8
39,35,0.3888888888888889,14,12,9
102,35,0.3888888888888889,16,12,7
114,35,0.3888888888888889,10,15,10
124,35,0.3888888888888889,12,13,10
142,35,0.3888888888888889,15,11,9
241,35,0.3888888888888889,12,12,11
288,35,0.3888888888888889,10,13,12
327,35,0.3888888888888889,16,11,8
42,34,0.37777777777777777,12,14,8
51,34,0.37777777777777777,12,13,9
115,34,0.37777777777777777,11,13,10
208,34,0.37777777777777777,13,13,8
245,34,0.37777777777777777,9,15,10
260,34,0.37777777777777777,11,13,10
267,34,0.37777777777777777,10,14,10
325,34,0.37777777777777777,11,14,9
359,34,0.37777777777777777,15,10,9
8,33,0.36666666666666664,15,11,7
87,33,0.36666666666666664,14,12,7
91,33,0.36666666666666664,12,13,8
99,33,0.36666666666666664,7,14,12
104,33,0.36666666666666664,14,12,7
139,33,0.36666666666666664,13,13,7
145,33,0.36666666666666664,10,13,10
147,33,0.36666666666666664,10,13,10
177,33,0.36666666666666664,11,14,8
178,33,0.36666666666666664,15,12,6
234,33,0.36666666666666664,14,11,8
237,33,0.36666666666666664,12,13,8
239,33,0.36666666666666664,11,13,9
250,33,0.36666666666666664,10,12,11
259,33,0.36666666666666664,13,13,7
314,33,0.36666666666666664,14,11,8
328,33,0.36666666666666664,19,9,5
343,33,0.36666666666666664,17,10,6
5,32,0.35555555555555557,9,13,10
26,32,0.35555555555555557,13,12,7
32,32,0.35555555555555557,9,12,11
46,32,0.35555555555555557,11,11,10
69,32,0.35555555555555557,6,16,10
112,32,0.35555555555555557,8,14,10
192,32,0.35555555555555557,8,15,9
227,32,0.35555555555555557,12,11,9
229,32,0.35555555555555557,9,13,10
304,32,0.35555555555555557,10,13,9
346,32,0.35555555555555557,16,9,7
349,32,0.35555555555555557,7,14,11
6,31,0.34444444444444444,9,14,8
14,31,0.34444444444444444,6,15,10
24,31,0.34444444444444444,14,10,7
36,31,0.34444444444444444,12,11,8
37,31,0.34444444444444444,14,10,7
44,31,0.34444444444444444,9,13,9
73,31,0.34444444444444444,11,11,9
80,31,0.34444444444444444,14,10,7
86,31,0.34444444444444444,13,12,6
94,31,0.34444444444444444,10,12,9
106,31,0.34444444444444444,10,13,8
116,31,0.34444444444444444,12,13,6
132,31,0.34444444444444444,13,10,8
163,31,0.34444444444444444,15,10,6
170,31,0.34444444444444444,9,13,9
187,31,0.34444444444444444,13,11,7
218,31,0.34444444444444444,8,13,10
232,31,0.34444444444444444,13,11,7
258,31,0.34444444444444444,9,12,10
272,31,0.34444444444444444,15,9,7
309,31,0.34444444444444444,14,10,7
312,31,0.34444444444444444,8,13,10
319,31,0.34444444444444444,15,9,7
321,31,0.34444444444444444,11,11,9
323,31,0.34444444444444444,16,9,6
350,31,0.34444444444444444,12,11,8
13,30,0.3333333333333333,8,12,10
21,30,0.3333333333333333,12,11,7
29,30,0.3333333333333333,13,12,5
56,30,0.3333333333333333,12,14,4
59,30,0.3333333333333333,8,13,9
85,30,0.3333333333333333,10,11,9
89,30,0.3333333333333333,16,9,5
92,30,0.3333333333333333,12,11,7
119,30,0.3333333333333333,14,10,6
203,30,0.3333333333333333,12,11,7
214,30,0.3333333333333333,11,12,7
269,30,0.3333333333333333,11,10,9
277,30,0.3333333333333333,10,13,7
279,30,0.3333333333333333,10,13,7
293,30,0.3333333333333333,8,13,9
320,30,0.3333333333333333,10,11,9
334,30,0.3333333333333333,8,12,10
335,30,0.3333333333333333,8,13,9
16,29,0.32222222222222224,12,10,7
17,29,0.32222222222222224,8,11,10
20,29,0.32222222222222224,10,12,7
33,29,0.32222222222222224,9,14,6
35,29,0.32222222222222224,14,8,7
40,29,0.32222222222222224,11,11,7
41,29,0.32222222222222224,11,13,5
48,29,0.32222222222222224,9,12,8
95,29,0.32222222222222224,13,10,6
121,29,0.32222222222222224,14,9,6
158,29,0.32222222222222224,12,12,5
175,29,0.32222222222222224,10,11,8
180,29,0.32222222222222224,10,12,7
181,29,0.32222222222222224,13,9,7
186,29,0.32222222222222224,7,12,10
205,29,0.32222222222222224,10,13,6
206,29,0.32222222222222224,14,9,6
252,29,0.32222222222222224,9,12,8
253,29,0.32222222222222224,8,13,8
265,29,0.32222222222222224,8,12,9
266,29,0.32222222222222224,11,9,9
276,29,0.32222222222222224,9,12,8
278,29,0.32222222222222224,8,13,8
282,29,0.32222222222222224,12,10,7
331,29,0.32222222222222224,10,12,7
45,28,0.3111111111111111,9,11,8
47,28,0.3111111111111111,10,11,7
50,28,0.3111111111111111,8,12,8
70,28,0.3111111111111111,10,11,7
78,28,0.3111111111111111,12,9,7
88,28,0.3111111111111111,7,12,9
100,28,0.3111111111111111,11,10,7
113,28,0.3111111111111111,14,9,5
118,28,0.3111111111111111,14,10,4
138,28,0.3111111111111111,14,10,4
167,28,0.3111111111111111,10,10,8
191,28,0.3111111111111111,15,9,4
195,28,0.3111111111111111,10,10,8
200,28,0.3111111111111111,10,10,8
202,28,0.3111111111111111,8,13,7
207,28,0.3111111111111111,13,10,5
228,28,0.3111111111111111,7,13,8
