scenario,loss_count_total,loss_frequency_total,loss_count_hardware_preferred,loss_count_deterministic_seeded,loss_count_baseline_neutralized
117,45,0.5,17,17,11
133,45,0.5,13,18,14
226,45,0.5,14,16,15
310,41,0.45555555555555555,10,17,14
14,40,0.4444444444444444,15,15,10
58,40,0.4444444444444444,17,15,8
99,38,0.4222222222222222,12,14,12
114,38,0.4222222222222222,13,15,10
148,38,0.4222222222222222,10,16,12
225,38,0.4222222222222222,10,16,12
69,37,0.4111111111111111,11,16,10
115,37,0.4111111111111111,14,13,10
239,37,0.4111111111111111,15,13,9
270,37,0.4111111111111111,10,16,11
299,37,0.4111111111111111,13,13,11
2,36,0.4,11,15,10
76,36,0.4,12,13,11
87,36,0.4,17,12,7
192,36,0.4,12,15,9
220,36,0.4,10,13,13
250,36,0.4,13,12,11
294,36,0.4,12,14,10
304,36,0.4,14,13,9
312,36,0.4,13,13,10
327,36,0.4,17,11,8
74,35,0.3888888888888889,9,16,10
144,35,0.3888888888888889,9,17,9
179,35,0.3888888888888889,18,11,6
241,35,0.3888888888888889,12,12,11
277,35,0.3888888888888889,15,13,7
288,35,0.3888888888888889,10,13,12
337,35,0.3888888888888889,11,13,11
341,35,0.3888888888888889,12,14,9
32,34,0.37777777777777777,11,12,11
86,34,0.37777777777777777,16,12,6
92,34,0.37777777777777777,16,11,7
124,34,0.37777777777777777,11,13,10
131,34,0.37777777777777777,8,17,9
188,34,0.37777777777777777,11,12,11
228,34,0.37777777777777777,13,13,8
245,34,0.37777777777777777,9,15,10
253,34,0.37777777777777777,13,13,8
295,34,0.37777777777777777,14,12,8
59,33,0.36666666666666664,11,13,9
103,33,0.36666666666666664,9,14,10
140,33,0.36666666666666664,6,15,12
175,33,0.36666666666666664,14,11,8
214,33,0.36666666666666664,14,12,7
259,33,0.36666666666666664,13,13,7
260,33,0.36666666666666664,10,13,10
279,33,0.36666666666666664,13,13,7
320,33,0.36666666666666664,13,11,9
325,33,0.36666666666666664,10,14,9
349,33,0.36666666666666664,8,14,11
6,32,0.35555555555555557,10,14,8
23,32,0.35555555555555557,18,9,5
42,32,0.35555555555555557,10,14,8
82,32,0.35555555555555557,9,14,9
94,32,0.35555555555555557,11,12,9
112,32,0.35555555555555557,8,14,10
116,32,0.35555555555555557,13,13,6
126,32,0.35555555555555557,13,10,9
147,32,0.35555555555555557,9,13,10
164,32,0.35555555555555557,10,14,8
190,32,0.35555555555555557,12,11,9
203,32,0.35555555555555557,14,11,7
218,32,0.35555555555555557,9,13,10
222,32,0.35555555555555557,11,13,8
232,32,0.35555555555555557,14,11,7
267,32,0.35555555555555557,8,14,10
317,32,0.35555555555555557,9,12,11
336,32,0.35555555555555557,12,13,7
355,32,0.35555555555555557,15,12,5
5,31,0.34444444444444444,8,13,10
13,31,0.34444444444444444,9,12,10
29,31,0.34444444444444444,14,12,5
44,31,0.34444444444444444,9,13,9
50,31,0.34444444444444444,11,12,8
51,31,0.34444444444444444,9,13,9
88,31,0.34444444444444444,10,12,9
135,31,0.34444444444444444,10,11,10
145,31,0.34444444444444444,8,13,10
169,31,0.34444444444444444,14,10,7
178,31,0.34444444444444444,13,12,6
201,31,0.34444444444444444,15,10,6
202,31,0.34444444444444444,11,13,7
205,31,0.34444444444444444,12,13,6
208,31,0.34444444444444444,10,13,8
216,31,0.34444444444444444,14,10,7
231,31,0.34444444444444444,13,10,8
237,31,0.34444444444444444,10,13,8
242,31,0.34444444444444444,12,11,8
265,31,0.34444444444444444,10,12,9
278,31,0.34444444444444444,10,13,8
280,31,0.34444444444444444,15,10,6
290,31,0.34444444444444444,11,13,7
293,31,0.34444444444444444,9,13,9
307,31,0.34444444444444444,14,11,6
313,31,0.34444444444444444,10,14,7
329,31,0.34444444444444444,6,14,11
334,31,0.34444444444444444,9,12,10
335,31,0.34444444444444444,9,13,9
11,30,0.3333333333333333,16,8,6
39,30,0.3333333333333333,9,12,9
55,30,0.3333333333333333,13,13,4
70,30,0.3333333333333333,12,11,7
71,30,0.3333333333333333,15,9,6
77,30,0.3333333333333333,11,12,7
106,30,0.3333333333333333,9,13,8
120,30,0.3333333333333333,11,11,8
132,30,0.3333333333333333,12,10,8
