scenario,loss_count_total,loss_frequency_total,loss_count_hardware_preferred,loss_count_deterministic_seeded,loss_count_baseline_neutralized
310,45,0.5,14,17,14
133,44,0.4888888888888889,12,18,14
147,44,0.4888888888888889,21,13,10
226,42,0.4666666666666667,11,16,15
117,41,0.45555555555555555,13,17,11
140,41,0.45555555555555555,14,15,12
329,41,0.45555555555555555,16,14,11
131,40,0.4444444444444444,14,17,9
220,40,0.4444444444444444,14,13,13
312,40,0.4444444444444444,17,13,10
74,38,0.4222222222222222,12,16,10
103,38,0.4222222222222222,14,14,10
42,37,0.4111111111111111,15,14,8
69,37,0.4111111111111111,11,16,10
99,37,0.4111111111111111,11,14,12
144,37,0.4111111111111111,11,17,9
218,37,0.4111111111111111,14,13,10
317,37,0.4111111111111111,14,12,11
318,37,0.4111111111111111,16,12,9
44,36,0.4,14,13,9
88,36,0.4,15,12,9
114,36,0.4,11,15,10
115,36,0.4,13,13,10
145,36,0.4,13,13,10
148,36,0.4,8,16,12
192,36,0.4,12,15,9
245,36,0.4,11,15,10
270,36,0.4,9,16,11
288,36,0.4,11,13,12
325,36,0.4,13,14,9
341,36,0.4,13,14,9
349,36,0.4,11,14,11
82,35,0.3888888888888889,12,14,9
164,35,0.3888888888888889,13,14,8
225,35,0.3888888888888889,7,16,12
229,35,0.3888888888888889,12,13,10
239,35,0.3888888888888889,13,13,9
267,35,0.3888888888888889,11,14,10
293,35,0.3888888888888889,13,13,9
16,34,0.37777777777777777,17,10,7
52,34,0.37777777777777777,16,10,8
94,34,0.37777777777777777,13,12,9
104,34,0.37777777777777777,15,12,7
188,34,0.37777777777777777,11,12,11
205,34,0.37777777777777777,15,13,6
236,34,0.37777777777777777,16,10,8
241,34,0.37777777777777777,11,12,11
250,34,0.37777777777777777,11,12,11
253,34,0.37777777777777777,13,13,8
258,34,0.37777777777777777,12,12,10
299,34,0.37777777777777777,10,13,11
5,33,0.36666666666666664,10,13,10
14,33,0.36666666666666664,8,15,10
58,33,0.36666666666666664,10,15,8
85,33,0.36666666666666664,13,11,9
216,33,0.36666666666666664,16,10,7
237,33,0.36666666666666664,12,13,8
276,33,0.36666666666666664,13,12,8
278,33,0.36666666666666664,12,13,8
279,33,0.36666666666666664,13,13,7
290,33,0.36666666666666664,13,13,7
304,33,0.36666666666666664,11,13,9
320,33,0.36666666666666664,13,11,9
335,33,0.36666666666666664,11,13,9
337,33,0.36666666666666664,9,13,11
338,33,0.36666666666666664,15,11,7
0,32,0.35555555555555557,18,9,5
2,32,0.35555555555555557,7,15,10
6,32,0.35555555555555557,10,14,8
8,32,0.35555555555555557,14,11,7
20,32,0.35555555555555557,13,12,7
30,32,0.35555555555555557,14,9,9
54,32,0.35555555555555557,12,12,8
59,32,0.35555555555555557,10,13,9
73,32,0.35555555555555557,12,11,9
76,32,0.35555555555555557,8,13,11
77,32,0.35555555555555557,13,12,7
102,32,0.35555555555555557,13,12,7
106,32,0.35555555555555557,11,13,8
112,32,0.35555555555555557,8,14,10
124,32,0.35555555555555557,9,13,10
126,32,0.35555555555555557,13,10,9
175,32,0.35555555555555557,13,11,8
176,32,0.35555555555555557,14,12,6
190,32,0.35555555555555557,12,11,9
260,32,0.35555555555555557,9,13,10
265,32,0.35555555555555557,11,12,9
281,32,0.35555555555555557,15,10,7
313,32,0.35555555555555557,11,14,7
314,32,0.35555555555555557,13,11,8
327,32,0.35555555555555557,13,11,8
334,32,0.35555555555555557,10,12,10
13,31,0.34444444444444444,9,12,10
28,31,0.34444444444444444,15,9,7
35,31,0.34444444444444444,16,8,7
51,31,0.34444444444444444,9,13,9
56,31,0.34444444444444444,13,14,4
122,31,0.34444444444444444,12,10,9
132,31,0.34444444444444444,13,10,8
142,31,0.34444444444444444,11,11,9
170,31,0.34444444444444444,9,13,9
203,31,0.34444444444444444,13,11,7
208,31,0.34444444444444444,10,13,8
295,31,0.34444444444444444,11,12,8
300,31,0.34444444444444444,14,10,7
18,30,0.3333333333333333,16,8,6
21,30,0.3333333333333333,12,11,7
32,30,0.3333333333333333,7,12,11
33,30,0.3333333333333333,10,14,6
38,30,0.3333333333333333,16,8,6
39,30,0.3333333333333333,9,12,9
40,30,0.3333333333333333,12,11,7
70,30,0.3333333333333333,12,11,7
86,30,0.3333333333333333,12,12,6
135,30,0.3333333333333333,9,11,10
177,30,0.3333333333333333,8,14,8
179,30,0.3333333333333333,13,11,6
186,30,0.3333333333333333,8,12,10
187,30,0.3333333333333333,12,11,7
246,30,0.3333333333333333,12,10,8
259,30,0.3333333333333333,10,13,7
277,30,0.3333333333333333,10,13,7
294,30,0.3333333333333333,6,14,10
303,30,0.3333333333333333,15,9,6
321,30,0.3333333333333333,10,11,9
343,30,0.3333333333333333,14,10,6
17,29,0.32222222222222224,8,11,10
29,29,0.32222222222222224,12,12,5
47,29,0.32222222222222224,11,11,7
91,29,0.32222222222222224,8,13,8
92,29,0.32222222222222224,11,11,7
116,29,0.32222222222222224,10,13,6
119,29,0.32222222222222224,13,10,6
137,29,0.32222222222222224,12,10,7
167,29,0.32222222222222224,11,10,8
174,29,0.32222222222222224,11,10,8
189,29,0.32222222222222224,11,12,6
194,29,0.32222222222222224,14,10,5
200,29,0.32222222222222224,11,10,8
211,29,0.32222222222222224,13,10,6
227,29,0.32222222222222224,9,11,9
228,29,0.32222222222222224,8,13,8
242,29,0.32222222222222224,10,11,8
269,29,0.32222222222222224,10,10,9
307,29,0.32222222222222224,12,11,6
319,29,0.32222222222222224,13,9,7
331,29,0.32222222222222224,10,12,7
336,29,0.32222222222222224,9,13,7
1,28,0.3111111111111111,13,8,7
9,28,0.3111111111111111,11,10,7
23,28,0.3111111111111111,14,9,5
36,28,0.3111111111111111,9,11,8
45,28,0.3111111111111111,9,11,8
55,28,0.3111111111111111,11,13,4
87,28,0.3111111111111111,9,12,7
120,28,0.3111111111111111,9,11,8
149,28,0.3111111111111111,12,12,4
158,28,0.3111111111111111,11,12,5
160,28,0.3111111111111111,13,11,4
161,28,0.3111111111111111,11,10,7
214,28,0.3111111111111111,9,12,7
222,28,0.3111111111111111,7,13,8
256,28,0.3111111111111111,11,10,7
282,28,0.3111111111111111,11,10,7
287,28,0.3111111111111111,9,10,9
291,28,0.3111111111111111,9,11,8
311,28,0.3111111111111111,15,8,5
340,28,0.3111111111111111,13,9,6
350,28,0.3111111111111111,9,11,8
356,28,0.3111111111111111,7,13,8
41,27,0.3,9,13,5
46,27,0.3,6,11,10
48,27,0.3,7,12,8
50,27,0.3,7,12,8
66,27,0.3,12,9,6
68,27,0.3,9,11,7
78,27,0.3,11,9,7
81,27,0.3,13,9,5
98,27,0.3,11,9,7
100,27,0.3,10,10,7
107,27,0.3,14,8,5
113,27,0.3,13,9,5
130,27,0.3,9,10,8
138,27,0.3,13,10,4
146,27,0.3,12,10,5
151,27,0.3,11,9,7
163,27,0.3,11,10,6
166,27,0.3,8,11,8
178,27,0.3,9,12,6
195,27,0.3,9,10,8
197,27,0.3,10,10,7
210,27,0.3,13,8,6
234,27,0.3,8,11,8
268,27,0.3,12,10,5
271,27,0.3,11,10,6
284,27,0.3,12,9,6
323,27,0.3,12,9,6
324,27,0.3,8,12,7
354,27,0.3,9,12,6
355,27,0.3,10,12,5
3,26,0.28888888888888886,8,10,8
4,26,0.28888888888888886,9,11,6
7,26,0.28888888888888886,11,8,7
22,26,0.28888888888888886,13,7,6
61,26,0.28888888888888886,7,13,6
80,26,0.28888888888888886,9,10,7
89,26,0.28888888888888886,12,9,5
128,26,0.28888888888888886,11,9,6
139,26,0.28888888888888886,6,13,7
159,26,0.28888888888888886,12,10,4
169,26,0.28888888888888886,9,10,7
173,26,0.28888888888888886,11,11,4
180,26,0.28888888888888886,7,12,7
181,26,0.28888888888888886,10,9,7
202,26,0.28888888888888886,6,13,7
206,26,0.28888888888888886,11,9,6
221,26,0.28888888888888886,17,7,2
247,26,0.28888888888888886,10,11,5
